service	srcLOC	prismaModels	wiredCtrls	wiredProviders	resolvers	specs>30L	asAny	promiseAny	stageMarks
activities-service	277	4	2	1	0	1	1	0	0
affiliate-service	411	0	1	1	1	0	1	0	2
ai-service	479	5	1	1	1	0	4	0	2
analytics-service	99	0	2	1	0	0	0	0	3
api-gateway	1	0	0	0	0	1	0	0	0
assessments-service	157	4	1	1	0	0	1	0	1
challenges-service	555	2	1	1	1	0	1	0	2
chat-service	607	6	2	1	1	0	4	0	2
coaches-service	525	1	2	0	1	0	1	0	3
content-service	3609	48	0	0	25	0	116	1	4
courses-service	674	3	2	1	1	0	1	0	2
graphql-gateway	83	0	0	0	0	2	3	0	0
inbox-service	152	1	1	1	0	0	0	0	0
kpis-service	134	0	1	1	0	2	0	0	0
media-worker	105	0	0	0	0	0	1	0	0
medical-service	174	8	1	1	0	0	0	0	0
ml-service	1	0	0	0	0	0	0	0	0
monitoring-service	351	0	2	0	1	0	1	0	3
notifications-service	368	2	2	1	0	0	3	0	2
nutrition-service	1360	6	2	0	1	0	1	0	3
payments-service	370	6	2	1	0	0	5	0	2
physio-service	260	6	2	1	0	0	0	0	0
predictive-service	360	0	2	0	1	0	1	0	3
rewards-service	218	8	1	1	0	0	7	0	2
users-service	592	1	2	0	1	0	1	0	3
workers	1	0	0	0	0	1	0	0	0
